id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8577709,Luxury apartment by Las Ramblas,5651747,Fernando,Ciutat Vella,el Raval,41.38400296304655,2.1699901639560295,Entire home/apt,80,3,28,2016-11-24,2.08,11,258
10078944,Beautiful double room in Raval,51717454,Manolo,Ciutat Vella,el Raval,41.38286084643143,2.1659450078461027,Private room,40,2,13,2016-10-30,1.35,2,337
11232467,Convenient homey Apartment,58554176,Homey,Ciutat Vella,el Raval,41.37899269091346,2.1656589281116156,Entire home/apt,80,1,22,2016-10-30,2.44,3,365
10027267,*RAMBLAS SPATIOUS FLAT 2Bdr2Bath*,10987670,Angie,Ciutat Vella,el Raval,41.37845502001905,2.174577708000568,Entire home/apt,120,3,32,2016-11-24,3.24,2,80
5767967,Triplex Pelayo Deluxe - BCN54,2151490,Juan,Ciutat Vella,el Raval,41.38470748267905,2.1653801894885087,Entire home/apt,750,2,9,2016-11-01,0.54,6,158
13595853,"Centro de Barcelona, el Raval.",78586651,Eva,Ciutat Vella,el Raval,41.37601080441384,2.173640688416713,Private room,20,1,6,2016-08-22,1.18,1,66
11977603,Apartamento en alquiler en el Raval,64004724,Lana,Ciutat Vella,el Raval,41.38012872596039,2.1701499832509845,Entire home/apt,80,2,7,2016-11-23,3.89,1,271
1466418,CHEAP DOUBLE ROOM BCN center,749224,Dario,Ciutat Vella,el Raval,41.3784109231368,2.1730004347157377,Private room,40,3,5,2016-08-07,0.12,3,365
14726706,Cosy 2 bedroom flat in the centre of Barcelona,7302961,Quelia,Ciutat Vella,el Raval,41.3807968025792,2.164640165738262,Entire home/apt,75,2,5,2016-11-07,1.44,1,65
591419,quadruple room in the hearts of bcn,749224,Dario,Ciutat Vella,el Raval,41.380173701978514,2.173601452015248,Private room,50,3,14,2016-10-04,0.26,3,365
10226586,Relax Central Double Room Raval,4788872,Paola,Ciutat Vella,el Raval,41.379071506696654,2.168610081033001,Private room,18,1,20,2016-08-22,1.86,1,221
8920301,LAS RAMBLAS AMAZING BIG ROOM,42653567,Darney,Ciutat Vella,el Raval,41.38021443075955,2.172474687442368,Private room,60,2,33,2016-10-30,2.42,2,348
10535185,Double room in shared flat +terrace,9826794,Matthieu,Ciutat Vella,el Raval,41.376983930358605,2.171571701514551,Private room,44,2,13,2016-08-21,1.36,1,169
15093459,BHNflats4u 103,94665134,Munazir,Ciutat Vella,el Raval,41.3773861334088,2.1659567148449717,Entire home/apt,75,3,0,,,3,360
6456987,Nice Flat in the BCN center,9350314,Peter,Ciutat Vella,el Raval,41.38001039303929,2.163495081328733,Entire home/apt,80,2,5,2016-06-26,0.27,1,362
15794719,Quiet room in remodel flat in raval,23299403,Germa,Ciutat Vella,el Raval,41.37768095341607,2.16949029095602,Private room,18,2,2,2016-11-20,1.82,1,351
11055821,Apt for 6 in the center - Ramblas!,52625826,Carlos&Joana,Ciutat Vella,el Raval,41.378605558051895,2.1741341375648133,Entire home/apt,80,1,6,2016-08-27,0.76,3,347
12506130,Cosy flat in the heart of the city,67720429,Nacha,Ciutat Vella,el Raval,41.385527028816284,2.1681977750627306,Entire home/apt,65,1,48,2016-11-17,6.70,1,269
600036,Central  Apartment Family or group,2967830,Mr. Dani P.R.,Ciutat Vella,el Raval,41.38471208265992,2.1671246960598984,Entire home/apt,175,3,56,2016-10-31,1.12,3,348
1269263,Rambla Boqueria P1- perf for groups (HUTB013224),136853,Lina&Marina,Ciutat Vella,el Raval,41.37895946807488,2.1711908994119167,Entire home/apt,340,3,39,2016-11-13,1.00,39,220
5466754,City center appart & 70m2 terrasse,28290642,Djan,Ciutat Vella,el Raval,41.380132795751635,2.1661330667774576,Entire home/apt,60,1,9,2015-12-30,0.42,1,340
449581,Your Private 360 ZEN Attic Room,1980412,Andrea,Ciutat Vella,el Raval,41.379613032668985,2.1641947435026014,Private room,42,8,25,2016-10-06,0.45,1,359
9990800,Placa Catalunya apartment - Ramblas in 1 min,50791942,Caherine And Rima,Ciutat Vella,el Raval,41.38542110769539,2.166422105656983,Entire home/apt,60,3,39,2016-11-29,3.39,3,326
14007924,Beautifully apartament,29572929,Jessi,Ciutat Vella,el Raval,41.37684192771868,2.1696443984504215,Entire home/apt,49,1,21,2016-11-11,5.04,1,68
15120031,Super Comfortable Flat Plaza Cataluña,72112863,Ferchu,Ciutat Vella,el Raval,41.38548844330777,2.1693742055001906,Entire home/apt,46,1,6,2016-11-26,2.77,1,353
15980012,Cosy & design au cœur de Barcelone,512759,Sébastien,Ciutat Vella,el Raval,41.375277234379695,2.17169492762565,Entire home/apt,70,2,0,,,1,323
2940039,Sun Penthouse,7053689,Lana & Alain,Ciutat Vella,el Raval,41.37876013186619,2.1743501909962872,Entire home/apt,199,5,24,2016-09-24,0.77,28,318
8730794,Recién Re3 Apart delS.18 Núcleo Bcn,2125106,Isaac,Ciutat Vella,el Raval,41.384044691727695,2.1699152571827907,Entire home/apt,89,1,25,2016-11-17,2.20,4,330
440841,sociable apartment in Raval 1,1457147,Piero,Ciutat Vella,el Raval,41.37854916888547,2.171087630215722,Private room,30,2,13,2016-09-25,0.32,3,324
14107257,Double bed private room / center of Barcelona,51256301,Omar,Ciutat Vella,el Raval,41.38136502007658,2.1682404863671385,Private room,30,4,5,2016-08-30,1.17,2,277
4207829,Apartment Ramblas 7 - Palou Suites,21825503,Palou Suites,Ciutat Vella,el Raval,41.37817442250596,2.1739747773830933,Entire home/apt,99,2,16,2016-10-22,0.72,25,217
15298582,Estudio Drassanes,19907807,Vanessa,Ciutat Vella,el Raval,41.377010614466734,2.1758479666882895,Entire home/apt,55,1,4,2016-11-17,1.97,1,359
13644648,Beautiful spacious attic in central Barcelona,5513900,Kate & Theyab,Ciutat Vella,el Raval,41.379034719810356,2.171910927877831,Entire home/apt,109,5,3,2016-09-18,0.58,1,18
12535876,Modern apartment in the city center,16410713,Carlos,Ciutat Vella,el Raval,41.38280201743232,2.1657019729095937,Entire home/apt,100,3,32,2016-11-12,4.42,2,348
14759121,Habitación doble cerca de la Rambla y del mar.,92024297,Raimon,Ciutat Vella,el Raval,41.37883845935604,2.166763756020948,Private room,35,7,0,,,1,180
9134208,Апартаменты на Рамбле Раваль,47540288,Antonio,Ciutat Vella,el Raval,41.37875738658052,2.169573327456809,Entire home/apt,37,1,42,2016-11-27,3.12,1,289
8127016,Room for 3 people with bathroom piv,42906962,Luis,Ciutat Vella,el Raval,41.381308932666286,2.1699110938987936,Private room,60,25,29,2016-08-29,1.99,13,309
1465050,¡¡¡7 GUESTS AT EL RAVAL!!!,652775,Yunicex,Ciutat Vella,el Raval,41.382939279781105,2.1694673389350427,Entire home/apt,90,1,144,2016-11-30,3.73,3,300
1629146," Design, art & vintage / old city",8658841,Olga Y Katya,Ciutat Vella,el Raval,41.38266271710997,2.167558416258413,Entire home/apt,33,3,99,2016-11-10,2.58,5,321
10993885,Amazing place with a terrace,2122530,Maryna,Ciutat Vella,el Raval,41.37768359911982,2.171245275067604,Private room,158,4,0,,,1,0
9480331,Amazing central flat+Terrace Sunny,589686,Flor,Ciutat Vella,el Raval,41.38230273039024,2.166602969000526,Private room,45,1,6,2016-09-05,0.52,1,355
5699212,La Boqueria room,15563421,Kat&Joe'S,Ciutat Vella,el Raval,41.381200956789634,2.169346323108407,Private room,49,2,5,2016-10-10,0.25,2,89
2741241,Beautiful apartment off las Ramblas,6992168,Simona,Ciutat Vella,el Raval,41.37725537310007,2.1727247706897654,Entire home/apt,156,4,16,2016-10-12,0.53,2,360
16159489,NEW LOVELY APARTMENT CLOSE LAS RAMBLAS,98939865,Antonio,Ciutat Vella,el Raval,41.383688116560904,2.164647889442326,Entire home/apt,99,1,0,,,3,167
14200408,Huge and great illuminated room for 2,1688305,Pau,Ciutat Vella,el Raval,41.37896602433353,2.1671946720869655,Private room,35,1,8,2016-11-09,1.97,1,0
